date,price,return
26/04/2019,30077,0.004565381
29/04/2019,30117,0.001329036
30/04/2019,30343,0.007476052
01/05/2019,30385,0.001383217
02/05/2019,30317,-0.002240454
03/05/2019,30621,0.009977437
06/05/2019,30485,-0.004451289
07/05/2019,30449,-0.001181606
08/05/2019,30389,-0.001972452
09/05/2019,30413,0.000789448
10/05/2019,30344,-0.002271344
13/05/2019,30218,-0.004161031
14/05/2019,30163,-0.001821766
15/05/2019,29936,-0.007554238
16/05/2019,29812,-0.004150773
17/05/2019,29750,-0.002081865
20/05/2019,29779,0.000974315
21/05/2019,29717,-0.002084174
22/05/2019,29589,-0.004316602
23/05/2019,29595,0.000202758
24/05/2019,29721,0.004248439
27/05/2019,29646,-0.002526658
28/05/2019,29596,-0.001687992
29/05/2019,29550,-0.001555473
30/05/2019,29517,-0.001117375
31/05/2019,29574,0.001929228
03/06/2019,29623,0.00165549
04/06/2019,29702,0.002663297
05/06/2019,29696,-0.000202027
06/06/2019,29716,0.000673265
07/06/2019,29791,0.002520713
10/06/2019,29627,-0.005520227
11/06/2019,29689,0.002090499
12/06/2019,29575,-0.003847197
13/06/2019,29538,-0.00125184
14/06/2019,29372,-0.00563573
17/06/2019,29258,-0.003888799
18/06/2019,29299,0.001400345
19/06/2019,29468,0.005751543
20/06/2019,29582,0.003861139
21/06/2019,29659,0.002599552
24/06/2019,29669,0.000337109
25/06/2019,29560,-0.003680634
26/06/2019,29563,0.000101483
27/06/2019,29545,-0.000609055
28/06/2019,29575,0.001014885
01/07/2019,29383,-0.006513134
02/07/2019,29249,-0.004570891
03/07/2019,29221,-0.000957756
04/07/2019,29227,0.000205311
05/07/2019,29095,-0.004526601
08/07/2019,29079,-0.000550074
09/07/2019,28944,-0.004653336
10/07/2019,29010,0.002277669
11/07/2019,29044,0.001171323
12/07/2019,29169,0.00429458
15/07/2019,29031,-0.004742277
16/07/2019,28775,-0.00885727
17/07/2019,28840,0.002256358
18/07/2019,29129,0.009970929
